card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
CBFDHABGH,2018-09-01 08:54:48,地铁出站,435,500,263018112,地铁五号线,兴东,AGT-112,1,2018-09-01 00:00:00
BICHJCHDJ,2018-09-01 08:56:42,地铁出站,475,500,263034118,地铁五号线,布心,OGT-118,0,2018-09-01 00:00:00
FIJFECJID,2018-09-01 08:54:41,地铁入站,0,0,263032102,地铁五号线,布吉,IGT-102,0,2018-09-01 00:00:00
FHIHGFEJI,2018-09-01 08:57:20,地铁出站,570,600,263037121,地铁五号线,黄贝岭,OGT-121,0,2018-09-01 00:00:00
FHEBGEGDB,2018-09-01 08:57:26,地铁出站,245,300,263026108,地铁五号线,五和,OGT-108,1,2018-09-01 00:00:00
FHFEDIFBF,2018-09-01 08:56:27,地铁出站,285,300,263016105,地铁五号线,灵芝,OGT-105,0,2018-09-01 00:00:00
CCAEJGGIG,2018-09-01 08:53:06,地铁出站,380,400,263028102,地铁五号线,杨美,OGT-102,0,2018-09-01 00:00:00
FHGBEJJAJ,2018-09-01 08:22:29,地铁入站,0,0,263028117,地铁五号线,杨美,IGT-117,0,2018-09-01 00:00:00
FFEHCCIBJ,2018-09-01 08:57:54,地铁出站,190,200,263019114,地铁五号线,留仙洞,OGT-114,0,2018-09-01 00:00:00
FFAFJFAHF,2018-09-01 08:57:47,地铁出站,285,300,263016124,地铁五号线,灵芝,OGT-124,0,2018-09-01 00:00:00
FHICBEAFJ,2018-09-01 08:59:35,地铁入站,0,0,263025113,地铁五号线,民治,IGT-113,0,2018-09-01 00:00:00
FIJGAJADC,2018-09-01 08:59:25,地铁入站,0,0,263034116,地铁五号线,布心,IGT-116,0,2018-09-01 00:00:00
BIIJABAAA,2018-09-01 08:59:32,地铁入站,0,0,263030114,地铁五号线,下水径,AGT-114,0,2018-09-01 00:00:00
CFAFIDDAE,2018-09-01 08:56:58,地铁入站,0,0,260014105,地铁二号线,水湾,IGT-105,0,2018-09-01 00:00:00
BEAEIDHHF,2018-09-01 08:57:21,地铁出站,150,300,260015105,地铁二号线,东角头,OGT-105,0,2018-09-01 00:00:00
FIJHHFAEA,2018-09-01 09:00:02,地铁出站,380,400,260034129,地铁二号线,,,0,2018-09-01 00:00:00
FHIBHEAGH,2018-09-01 09:00:26,地铁出站,285,300,260032130,地铁二号线,市民中心,AGM-130,0,2018-09-01 00:00:00
FHGDHFFEB,2018-09-01 07:18:55,巴士,120,200,224000932,西部公共汽车,M183线（混租电动）,粤B01528D,0,2018-09-01 00:00:00
CBGEJHJBC,2018-09-01 06:47:50,巴士,160,200,224000939,西部公共汽车,M183线（混租电动）,粤B04167D,0,2018-09-01 00:00:00
FHFCDGIBF,2018-09-01 07:31:51,巴士,80,100,224000942,西部公共汽车,B918线（混租电动）,粤B01999D,0,2018-09-01 00:00:00
CFBFEHCCC,2018-09-01 07:48:04,巴士,40,100,224000942,西部公共汽车,B918线（混租电动）,粤B01999D,1,2018-09-01 00:00:00
BEABIJEGA,2018-09-01 07:02:38,巴士,100,200,224000946,西部公共汽车,M289线（融资电动）,粤BT9142,0,2018-09-01 00:00:00
FHHDDGAAB,2018-09-01 06:56:07,巴士,160,200,224000947,西部公共汽车,M543线（混租电动）,粤B06893D,0,2018-09-01 00:00:00
FHGDIBDEH,2018-09-01 07:55:31,巴士,390,500,224000950,西部公共汽车,E8线（混租电动）,粤B33875D,0,2018-09-01 00:00:00
CFAJEABAA,2018-09-01 07:27:15,巴士,160,200,224000951,西部公共汽车,M510线（混租电动）,粤B05779D,0,2018-09-01 00:00:00
