card_no,deal_date,deal_type,deal_money,deal_value,equ_no,company_name,station,car_no,conn_mark,close_date
FIAIACCBF,2018-09-01 07:17:49,地铁入站,0,0,265014109,地铁七号线,珠光,进AGM20-21,0,2018-09-01 00:00:00
FHIGBIECE,2018-09-01 07:17:32,地铁出站,190,200,241025101,地铁十一号线,沙井,OGT-101,0,2018-09-01 00:00:00
FHIIGJGGD,2018-09-01 07:20:31,地铁入站,0,0,241025126,地铁十一号线,沙井,IGT-126,0,2018-09-01 00:00:00
CCABDFFCC,2018-09-01 07:20:52,地铁出站,285,300,267013103,地铁九号线,深圳湾公园,OGT-103,0,2018-09-01 00:00:00
BIBBHABDA,2018-09-01 07:17:39,地铁出站,285,300,265032117,地铁七号线,黄木岗,双AGM23-24,0,2018-09-01 00:00:00
CCJHFHBFH,2018-09-01 07:20:54,地铁出站,285,300,263020125,地铁五号线,西丽,IGT-125,0,2018-09-01 00:00:00
CBEFIJADB,2018-09-01 07:21:41,地铁入站,0,0,241015128,地铁十一号线,南山站,AGT-128,0,2018-09-01 00:00:00
FIAJJFJHE,2018-09-01 07:19:53,地铁出站,190,200,260029107,地铁二号线,景田,OGT-107,0,2018-09-01 00:00:00
BEAIIAGHI,2018-09-01 07:19:43,地铁出站,200,400,241014131,地铁十一号线,后海站,AGT-131,0,2018-09-01 00:00:00
FIAAJCCHD,2018-09-01 06:59:17,地铁入站,0,0,263032104,地铁五号线,布吉,IGT-104,0,2018-09-01 00:00:00
BIGFBHAIF,2018-09-01 07:16:00,地铁入站,0,0,262013115,地铁四号线,,,0,2018-09-01 00:00:00
FFEIJFJEE,2018-09-01 07:18:03,地铁入站,0,0,263036119,地铁五号线,怡景,IGT-119,0,2018-09-01 00:00:00
FHEFFCCFA,2018-09-01 07:20:00,地铁入站,0,0,263022114,地铁五号线,塘朗,IGT-114,0,2018-09-01 00:00:00
FHECDBDGF,2018-09-01 07:14:36,地铁入站,0,0,263029117,地铁五号线,上水径,IGT-117,0,2018-09-01 00:00:00
FFJIAFADA,2018-09-01 07:20:54,地铁入站,0,0,263034112,地铁五号线,布心,AGT-112,0,2018-09-01 00:00:00
FIJBGBHID,2018-09-01 07:21:30,地铁入站,0,0,263037101,地铁五号线,黄贝岭,AGT-101,0,2018-09-01 00:00:00
CFCJJHGHA,2018-09-01 07:21:31,地铁入站,0,0,263025113,地铁五号线,民治,IGT-113,0,2018-09-01 00:00:00
BIBCBHAJE,2018-09-01 07:21:26,地铁入站,0,0,263025114,地铁五号线,民治,IGT-114,0,2018-09-01 00:00:00
CFBJEHCED,2018-09-01 07:18:28,地铁入站,0,0,262011601,地铁四号线,清湖,AGM-601,0,2018-09-01 00:00:00
BIJCGFIGF,2018-09-01 07:19:10,地铁出站,245,300,262016110,地铁四号线,深圳北站,AGM-110,1,2018-09-01 00:00:00
FFHCHBFIA,2018-09-01 07:21:53,地铁入站,0,0,263030115,地铁五号线,下水径,IGT-115,0,2018-09-01 00:00:00
AHJJBJHBF,2018-09-01 07:22:21,地铁入站,0,0,263026121,地铁五号线,五和,AGT-121,0,2018-09-01 00:00:00
BIBGACEAJ,2018-09-01 07:21:43,地铁入站,0,0,263025106,地铁五号线,民治,IGT-106,0,2018-09-01 00:00:00
FHHIFGGDE,2018-09-01 07:22:06,地铁入站,0,0,263021104,地铁五号线,大学城,IGT-104,0,2018-09-01 00:00:00
CCJHDAHBF,2018-09-01 07:21:36,地铁入站,0,0,263033116,地铁五号线,百鸽笼,IGT-116,0,2018-09-01 00:00:00
CBDHDDFAE,2018-09-01 07:22:21,地铁出站,380,400,263032113,地铁五号线,布吉,OGT-113,0,2018-09-01 00:00:00
CFACIGHFB,2018-09-01 07:22:12,地铁入站,0,0,263021101,地铁五号线,大学城,AGT-101,0,2018-09-01 00:00:00
FHGFBHDEI,2018-09-01 07:21:27,地铁入站,0,0,263027115,地铁五号线,坂田,IGT-115,0,2018-09-01 00:00:00
BIGGCJEAE,2018-09-01 07:22:20,地铁入站,0,0,263018117,地铁五号线,兴东,IGT-117,0,2018-09-01 00:00:00
BICIFDBHD,2018-09-01 07:22:13,地铁出站,475,500,263025118,地铁五号线,民治,OGT-118,0,2018-09-01 00:00:00
CBIDDJGGI,2018-09-01 07:22:03,地铁出站,150,200,263025105,地铁五号线,民治,OGT-105,1,2018-09-01 00:00:00
BIEBEGHBF,2018-09-01 07:22:22,地铁入站,0,0,263037102,地铁五号线,黄贝岭,IGT-102,0,2018-09-01 00:00:00
FFGBCJBIE,2018-09-01 07:22:36,地铁出站,190,200,263018105,地铁五号线,兴东,OGT-105,0,2018-09-01 00:00:00
FFCBCCCHC,2018-09-01 07:22:07,地铁入站,0,0,263017113,地铁五号线,洪浪北,AGT-113,0,2018-09-01 00:00:00
