favorites	genres	type	episodes	year
continuous	string	Movie Music ONA OVA PV Special TV TV\ Special	1.0 2.0 3.0 4.0 5.0 6.0 7.0 8.0 9.0 10.0 11.0 12.0 13.0 14.0 15.0 16.0 17.0 20.0 22.0 23.0 24.0 25.0 26.0 27.0 28.0 30.0 33.0 36.0 37.0 39.0 40.0 43.0 47.0 48.0 50.0 51.0 52.0 54.0 59.0 62.0 64.0 70.0 74.0 75.0 77.0 78.0 79.0 94.0 96.0 99.0 101.0 110.0 112.0 120.0 148.0 175.0 201.0 209.0 237.0 291.0 500.0	1970.0 1979.0 1980.0 1986.0 1989.0 1990.0 1992.0 1993.0 1995.0 1996.0 1997.0 1998.0 1999.0 2000.0 2002.0 2003.0 2004.0 2005.0 2006.0 2007.0 2008.0 2009.0 2010.0 2011.0 2012.0 2013.0 2014.0 2015.0 2016.0 2017.0 2018.0 2019.0 2020.0 2021.0 2022.0 2023.0 2024.0 2025.0 2026.0
class	meta			
1773	Action, Sci-Fi	Movie	1.0	
153	Action, Adventure, Fantasy, Sci-Fi	ONA	175.0	
613	Drama, Sports	TV	13.0	2025.0
16377	Drama	TV	22.0	2016.0
11099	Action, Supernatural	Movie	1.0	
5531	Sports	TV	13.0	2020.0
1659	Drama, Romance, Sports	TV	25.0	2013.0
472	Slice of Life	Movie	1.0	
116733	Avant Garde, Award Winning, Drama, Sci-Fi, Suspense	TV	26.0	1995.0
3096	Drama	TV	13.0	2024.0
3011	Award Winning, Comedy	Movie	1.0	
2356	Action, Fantasy, Mystery, Romance, Suspense	Movie	1.0	
3948	Action, Mystery, Supernatural	Movie	1.0	
2409	Drama, Sports	TV	79.0	1970.0
3083	Drama, Romance, Sports	TV	50.0	2009.0
874	Drama, Romance	Movie	1.0	
6055	Adventure, Award Winning, Drama, Fantasy	Movie	1.0	
13837	Action, Drama	TV	26.0	1998.0
2350	Comedy, Romance	TV	12.0	2022.0
501	Action, Adventure, Fantasy	ONA	237.0	
13429	Slice of Life	TV	12.0	2014.0
577	Drama, Sports	Movie	1.0	
38	Action, Adventure, Fantasy	ONA	48.0	
119	Action, Adventure	TV	13.0	2026.0
126		Movie	1.0	
14901	Comedy, Romance	TV	12.0	2020.0
92	Action, Comedy, Sci-Fi	Special	1.0	
984	Slice of Life	TV	12.0	2021.0
16136	Adventure, Drama, Supernatural	TV	20.0	2021.0
282	Drama	TV	17.0	2022.0
23731	Action, Mystery, Supernatural	TV	13.0	2007.0
3398	Drama, Romance	TV	40.0	1979.0
980	Drama	Special	1.0	
1611	Romance, Supernatural	TV	12.0	2025.0
121	Action, Mystery	Movie	1.0	
3831	Drama	TV	13.0	2016.0
26554	Drama, Sci-Fi	TV	11.0	2021.0
5574	Adventure, Comedy, Fantasy	TV	11.0	2024.0
23539	Action, Horror, Supernatural	OVA	10.0	
4653	Action, Supernatural	TV	7.0	2021.0
10990	Action, Comedy, Fantasy	TV	12.0	2021.0
503	Adventure, Drama, Fantasy	Movie	1.0	
40231	Action, Mystery, Sci-Fi, Suspense	TV	22.0	2012.0
177	Adventure, Comedy, Fantasy	Movie	1.0	
39036	Adventure, Drama, Fantasy, Ecchi	TV	11.0	2021.0
1375	Comedy, Drama, Romance	TV	25.0	2011.0
116	Slice of Life, Supernatural	OVA	1.0	
139	Slice of Life, Supernatural	Movie	1.0	
72	Drama, Sci-Fi	Movie	12.0	
973	Sci-Fi	OVA	6.0	
9629	Action, Fantasy	TV	13.0	2015.0
4243	Sports, Suspense	TV	25.0	2008.0
12426	Drama, Fantasy, Suspense	TV	13.0	2020.0
51180	Mystery, Romance, Supernatural	TV	15.0	2009.0
36640	Action, Horror, Sci-Fi, Suspense	TV	24.0	2014.0
126	Action, Fantasy	ONA	4.0	
6036	Slice of Life	TV	11.0	2011.0
148	Drama, Sci-Fi	Movie	12.0	
443	Comedy	Movie	2.0	
394	Boys Love	Movie	1.0	
68	Slice of Life, Supernatural	Special	2.0	
1926	Action, Drama, Sci-Fi	OVA	26.0	
194		Music	1.0	
476	Sports	TV	25.0	2010.0
1122	Sports	TV	51.0	2015.0
695	Adventure, Drama	TV	33.0	1995.0
1789	Sports	TV	13.0	2021.0
219	Fantasy	Music	1.0	
2418	Sci-Fi	Music	1.0	
439	Action, Adventure, Fantasy	OVA	8.0	
29866	Comedy, Drama, Romance	TV	24.0	2006.0
93		Music	1.0	
509	Drama	ONA	6.0	
1626	Adventure, Comedy	TV	11.0	2023.0
4310	Adventure, Drama, Romance, Supernatural	TV	12.0	2009.0
16759	Slice of Life, Supernatural	TV	13.0	2008.0
1049	Action, Drama	TV	4.0	2014.0
51030	Mystery, Suspense	TV	12.0	2016.0
888	Comedy, Sci-Fi	Special	1.0	
956	Action	TV	39.0	2013.0
6232	Action, Sci-Fi	Movie	1.0	
1532	Drama, Fantasy	TV	50.0	2009.0
3596	Drama, Sci-Fi, Suspense	Movie	1.0	
5221	Sports	TV	25.0	2015.0
10935	Action, Adventure, Romance	TV	12.0	2010.0
2997	Award Winning, Comedy, Drama	Movie	1.0	
143	Action, Adventure, Fantasy, Sci-Fi	ONA	26.0	
7318	Drama, Romance	TV	12.0	2012.0
18076	Boys Love, Drama	TV	11.0	2019.0
293	Adventure, Mystery	Movie	1.0	
11032	Action, Comedy, Fantasy	TV	12.0	2021.0
9161	Drama	TV	26.0	2004.0
33110	Drama, Supernatural	TV	11.0	2011.0
119705	Action, Adventure, Fantasy	TV	500.0	2007.0
3310	Mystery, Suspense	TV	13.0	2021.0
55	Action, Adventure, Fantasy	ONA		
665	Drama, Romance, Supernatural	Movie	1.0	
102	Sports	OVA	2.0	
111	Drama, Sci-Fi	Movie	4.0	
1082	Sports	TV	52.0	2019.0
7563	Adventure, Drama, Fantasy	TV	13.0	2003.0
857	Adventure, Fantasy, Slice of Life	TV	78.0	1990.0
